calls;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;292212.0000;0.0810;0.0842;0.0877;0.0388;0.0858;1.0000;
OSA0;0.4513;52441.0000;0.4996;0.4988;0.1325;0.5614;1.0000;
SPOON0;0.8010;0.8526;30730.0000;0.8278;0.2403;0.8945;1.0000;
JCG0;0.6380;0.6513;0.6333;40163.0000;0.1901;0.7111;1.0000;
WALA0;0.9865;0.6048;0.6427;0.6645;11491.0000;0.5652;1.0000;
JDT0;0.7189;0.8438;0.7879;0.8186;0.1862;34888.0000;1.0000;
UnionGraph;0.8780;0.1576;0.0923;0.1207;0.0345;0.1048;332806.0000;

methods;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;14905.0000;0.6161;0.6651;0.6923;0.3102;0.6826;1.0000;
OSA0;0.5061;18148.0000;0.5511;0.5611;0.2166;0.5795;1.0000;
SPOON0;0.8619;0.8697;11447.0000;0.9293;0.3542;0.9105;1.0000;
JCG0;0.6623;0.6528;0.6855;15574.0000;0.2697;0.7043;1.0000;
WALA0;0.9674;0.8227;0.8536;0.8800;4783.0000;0.8710;1.0000;
JDT0;0.7898;0.8235;0.8202;0.8597;0.3248;12929.0000;1.0000;
UnionGraph;0.5140;0.6257;0.3971;0.5377;0.1651;0.4413;28999.0000;

callsCount;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;292212;23667;24615;25622;11336;25080;292212;
OSA0;23667;52441;26200;26157;6950;29439;52441;
SPOON0;24615;26200;30730;25437;7385;27488;30730;
JCG0;25622;26157;25437;40163;7636;28558;40163;
WALA0;11336;6950;7385;7636;11491;6495;11491;
JDT0;25080;29439;27488;28558;6495;34888;34888;
UnionGraph;292212;52441;30730;40163;11491;34888;332806;

methodsCount;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;14905;5722;4991;4587;10282;4731;0;
OSA0;8963;18148;8146;7965;14217;7631;0;
SPOON0;1581;1491;11447;809;7392;1025;0;
JCG0;5260;5408;4898;15574;11374;4606;0;
WALA0;156;848;700;574;4783;617;0;
JDT0;2718;2282;2325;1814;8730;12929;0;
UnionGraph;14094;10853;17483;13406;24212;16202;28999;

