Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(0)org.argouml.application.Main.main(java.lang.String[])->(5)org.argouml.util.ArgoFrame.getFrame()	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(8)org.argouml.application.Main.addPostLoadAction(java.lang.Runnable)	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(9)org.argouml.application.Main.performCommands(java.util.List)	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(11)org.argouml.application.Main.openProject(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen,org.argouml.ui.ProjectBrowser,java.io.File)	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(12)org.argouml.persistence.PersistenceManager.getInstance()	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(13)org.argouml.application.Main.getMostRecentProject()	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(14)org.argouml.application.Main.performCommandsInternal(java.util.List)	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(15)org.argouml.application.Main.initializeSubsystems(org.argouml.util.logging.SimpleTimer,org.argouml.ui.SplashScreen)	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(16)org.argouml.application.Main.initializeSplash()	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(17)org.argouml.ui.LookAndFeelMgr.getInstance()	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(18)org.argouml.util.logging.AwtExceptionHandler.registerExceptionHandler()	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(19)org.argouml.application.Main.parseCommandLine(java.lang.String[])	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(20)org.argouml.application.Main.initPreinitialize()	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(460)org.argouml.util.logging.SimpleTimer.<init>()	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(1481)org.argouml.ui.LookAndFeelMgr.setCurrentTheme(java.lang.String)	6	X	X	X	X	X	X	95
(0)org.argouml.application.Main.main(java.lang.String[])->(5461)java.util.logging.Logger.log(java.util.logging.Level,java.lang.String)	6	X	X	X	X	X	X	95
