calls;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;404.0000;0.5173;0.5248;0.5396;0.5842;0.4356;1.0000;
OSA0;0.8970;233.0000;1.0000;0.9485;0.8927;0.8283;1.0000;
SPOON0;0.8760;0.9628;242.0000;0.9256;0.8719;0.8264;1.0000;
JCG0;0.8720;0.8840;0.8960;250.0000;0.8640;0.7480;1.0000;
WALA0;0.9478;0.8353;0.8474;0.8675;249.0000;0.7028;1.0000;
JDT0;0.8341;0.9147;0.9479;0.8863;0.8294;211.0000;1.0000;
UnionGraph;0.8559;0.4936;0.5127;0.5297;0.5275;0.4470;472.0000;

methods;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;144.0000;0.7639;0.7847;0.8125;0.8264;0.7361;1.0000;
OSA0;0.9244;119.0000;1.0000;0.9580;0.9160;0.9412;1.0000;
SPOON0;0.9262;0.9754;122.0000;0.9590;0.9180;0.9426;1.0000;
JCG0;0.8667;0.8444;0.8667;135.0000;0.8519;0.8148;1.0000;
WALA0;0.9370;0.8583;0.8819;0.9055;127.0000;0.8268;1.0000;
JDT0;0.9060;0.9573;0.9829;0.9402;0.8974;117.0000;1.0000;
UnionGraph;0.8090;0.6685;0.6854;0.7584;0.7135;0.6685;178.0000;

callsCount;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;404;209;212;218;236;176;404;
OSA0;209;233;233;221;208;193;233;
SPOON0;212;233;242;224;211;200;242;
JCG0;218;221;224;250;216;187;250;
WALA0;236;208;211;216;249;175;249;
JDT0;176;193;200;187;175;211;211;
UnionGraph;404;233;242;250;249;211;472;

methodsCount;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;144;34;31;27;25;38;0;
OSA0;9;119;0;5;10;7;0;
SPOON0;9;3;122;5;10;7;0;
JCG0;18;21;18;135;20;25;0;
WALA0;8;18;15;12;127;22;0;
JDT0;11;5;2;7;12;117;0;
UnionGraph;34;59;56;43;51;59;178;

