Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(0)dynamic.DynamicTest.reflection()->(2)java.lang.Class.forName(java.lang.String)	6	X	X	X	X	X	X	95
(0)dynamic.DynamicTest.reflection()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(0)dynamic.DynamicTest.reflection()->(76)java.lang.Class.getMethod(java.lang.String,java.lang.Class[])	6	X	X	X	X	X	X	95
(0)dynamic.DynamicTest.reflection()->(78)java.lang.reflect.Method.invoke(java.lang.Object,java.lang.Object[])	6	X	X	X	X	X	X	95
(0)dynamic.DynamicTest.reflection()->(79)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(0)dynamic.DynamicTest.reflection()->(153)java.lang.reflect.Method.setAccessible(boolean)	1				X			8
(3)helper.Debug.debug(java.lang.String)->(79)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(8)java.lang.invoke.MethodHandles.lookup()	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(9)java.lang.invoke.MethodType.methodType(java.lang.Class,java.lang.Class)	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(79)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(80)java.lang.invoke.MethodHandles$Lookup.findStatic(java.lang.Class,java.lang.String,java.lang.invoke.MethodType)	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(81)java.lang.invoke.MethodHandle.invokeWithArguments(java.lang.Object[])	5	X	X	X	X		X	79
(7)dynamic.DynamicTest.methodHandle()->(82)java.lang.Throwable.printStackTrace()	6	X	X	X	X	X	X	95
(12)java8.Java8Test.lambda()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(12)java8.Java8Test.lambda()->(150)java8.Lambda.compare(int,int)	4		X	X	X		X	78
(12)java8.Java8Test.lambda()->(154)java8.Lambda.compare()	1				X			8
(12)java8.Java8Test.lambda()->(163)java.lang.Object.compare()	1				X			8
(13)java8.Java8Test.methodReference()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(13)java8.Java8Test.methodReference()->(22)java8.MethodReference.<init>()	6	X	X	X	X	X	X	95
(13)java8.Java8Test.methodReference()->(84)java8.MethodReference.doSomething()	6	X	X	X	X	X	X	95
(14)java8.Java8Test.functionalInterface()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(14)java8.Java8Test.functionalInterface()->(149)java8.FunctionalInterface.doSomething(java.lang.String)	4		X	X	X		X	78
(14)java8.Java8Test.functionalInterface()->(155)java8.FunctionalInterface.doSomething()	1				X			8
(14)java8.Java8Test.functionalInterface()->(164)java.lang.Object.doSomething()	1				X			8
(15)java8.Java8Test.functionalInterface2()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(15)java8.Java8Test.functionalInterface2()->(149)java8.FunctionalInterface.doSomething(java.lang.String)	4		X	X	X		X	78
(15)java8.Java8Test.functionalInterface2()->(155)java8.FunctionalInterface.doSomething()	1				X			8
(15)java8.Java8Test.functionalInterface2()->(164)java.lang.Object.doSomething()	1				X			8
(16)java8.Java8Test.test()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(16)java8.Java8Test.test()->(12)java8.Java8Test.lambda()	6	X	X	X	X	X	X	95
(16)java8.Java8Test.test()->(13)java8.Java8Test.methodReference()	6	X	X	X	X	X	X	95
(16)java8.Java8Test.test()->(14)java8.Java8Test.functionalInterface()	6	X	X	X	X	X	X	95
(16)java8.Java8Test.test()->(15)java8.Java8Test.functionalInterface2()	6	X	X	X	X	X	X	95
(17)java8.Java8Test.lambda$0(int,int)->(3)helper.Debug.debug(java.lang.String)	2	X			X			9
(18)java8.Java8Test.lambda$3(java.lang.String)->(79)java.io.PrintStream.println(java.lang.String)	3	X			X	X		25
(18)java8.Java8Test.lambda$3(java.lang.String)->(86)helper.Child1.<init>()	3	X			X	X		25
