Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(0)dynamic.DynamicTest.reflection()->(2)java.lang.Class.forName(java.lang.String)	6	X	X	X	X	X	X	95
(0)dynamic.DynamicTest.reflection()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(0)dynamic.DynamicTest.reflection()->(76)java.lang.Class.getMethod(java.lang.String,java.lang.Class[])	6	X	X	X	X	X	X	95
(0)dynamic.DynamicTest.reflection()->(78)java.lang.reflect.Method.invoke(java.lang.Object,java.lang.Object[])	6	X	X	X	X	X	X	95
(0)dynamic.DynamicTest.reflection()->(79)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(3)helper.Debug.debug(java.lang.String)->(79)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(8)java.lang.invoke.MethodHandles.lookup()	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(9)java.lang.invoke.MethodType.methodType(java.lang.Class,java.lang.Class)	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(79)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(80)java.lang.invoke.MethodHandles$Lookup.findStatic(java.lang.Class,java.lang.String,java.lang.invoke.MethodType)	6	X	X	X	X	X	X	95
(7)dynamic.DynamicTest.methodHandle()->(82)java.lang.Throwable.printStackTrace()	6	X	X	X	X	X	X	95
(12)java8.Java8Test.lambda()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(13)java8.Java8Test.methodReference()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(13)java8.Java8Test.methodReference()->(22)java8.MethodReference.<init>()	6	X	X	X	X	X	X	95
(13)java8.Java8Test.methodReference()->(84)java8.MethodReference.doSomething()	6	X	X	X	X	X	X	95
(14)java8.Java8Test.functionalInterface()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(15)java8.Java8Test.functionalInterface2()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(16)java8.Java8Test.test()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(16)java8.Java8Test.test()->(12)java8.Java8Test.lambda()	6	X	X	X	X	X	X	95
(16)java8.Java8Test.test()->(13)java8.Java8Test.methodReference()	6	X	X	X	X	X	X	95
(16)java8.Java8Test.test()->(14)java8.Java8Test.functionalInterface()	6	X	X	X	X	X	X	95
(16)java8.Java8Test.test()->(15)java8.Java8Test.functionalInterface2()	6	X	X	X	X	X	X	95
(20)java8.MethodReference.print(java.lang.String)->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(21)java8.MethodReference.privatePrint()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(24)generics.GenericsTest.genericMethod(helper.Interface)->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(25)generics.GenericsTest.test()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(25)generics.GenericsTest.test()->(24)generics.GenericsTest.genericMethod(helper.Interface)	5	X	X	X	X	X		31
(25)generics.GenericsTest.test()->(27)generics.Generic2.generic(helper.Interface,generics.Generic1)	5	X	X	X	X	X		31
(25)generics.GenericsTest.test()->(28)generics.Generic3.foo()	6	X	X	X	X	X	X	95
(25)generics.GenericsTest.test()->(86)helper.Child1.<init>()	6	X	X	X	X	X	X	95
(25)generics.GenericsTest.test()->(116)generics.Generic1.<init>()	6	X	X	X	X	X	X	95
(25)generics.GenericsTest.test()->(118)helper.Child2.<init>()	6	X	X	X	X	X	X	95
(25)generics.GenericsTest.test()->(119)generics.Generic2.<init>()	6	X	X	X	X	X	X	95
(25)generics.GenericsTest.test()->(120)generics.Generic3.<init>()	6	X	X	X	X	X	X	95
(27)generics.Generic2.generic(helper.Interface,generics.Generic1)->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
(28)generics.Generic3.foo()->(3)helper.Debug.debug(java.lang.String)	6	X	X	X	X	X	X	95
