Transformed	matching	Soot.rep(1)	OSA.rep(2)	SPOON.rep(4)	JCG.rep(8)	WALA.rep(16)	JDT(64)	IntersectionID
73	6	"(9)<dynamic.DynamicTest: void <init>()>""(9)<dynamic.DynamicTest: void <init>()>"	247dynamic.DynamicTest.<init>()V:-1:-1:-1:-1	24dynamic.DynamicTest.DynamicTest():-1:-1:-1:-1	(9)dynamic.DynamicTest:<init>()dynamic.DynamicTest.<init>()	17dynamic.DynamicTest.<init>()V:9	14dynamic.DynamicTest.<init>():void:DynamicTest.java:-1:-1:-1:-1	95
75	5	"<java.lang.Object: void <init>()>""<java.lang.Object: void <init>()>"	121java.lang.Object.<init>()V:-1:-1:-1:-1	1java.lang.Object.Object():-1:-1:-1:-1	java.lang.Object:<init>()java.lang.Object.<init>()	6java.lang.Object.<init>()V:37	x	31
0	6	"(16)<dynamic.DynamicTest: void reflection()>""(16)<dynamic.DynamicTest: void reflection()>"	252dynamic.DynamicTest.reflection()V:14:2:28:3	25dynamic.DynamicTest.reflection():14:7:28:2	(16)dynamic.DynamicTest:reflection()dynamic.DynamicTest.reflection()	18dynamic.DynamicTest.reflection()V:16	35dynamic.DynamicTest.reflection():void:DynamicTest.java:10:1:28:2	95
3	6	"(7)<helper.Debug: void debug(java.lang.String)>""(7)<helper.Debug: void debug(java.lang.String)>"	128helper.Debug.debug(Ljava/lang/String;)V:6:2:10:3	3helper.Debug.debug(java.lang.String):6:21:10:2	helper.Debug:debug(java.lang.String)helper.Debug.debug(java.lang.String)	1helper.Debug.debug(Ljava/lang/String;)V:7	16helper.Debug.debug(java.lang.String):void:Debug.java:6:1:10:2	95
2	6	"<java.lang.Class: java.lang.Class forName(java.lang.String)>""<java.lang.Class: java.lang.Class forName(java.lang.String)>"	259java.lang.Class.forName(Ljava/lang/String;)Ljava/lang/Class;:-1:-1:-1:-1	26java.lang.Class.forName(java.lang.String):-1:-1:-1:-1	java.lang.Class:forName(java.lang.String)java.lang.Class.forName(java.lang.String)	19java.lang.Class.forName(Ljava/lang/String;)Ljava/lang/Class;:-1	38java.lang.Class.forName(java.lang.String):java.lang.Class<>::-1:-1:-1:-1	95
76	6	"<java.lang.Class: java.lang.reflect.Method getMethod(java.lang.String,java.lang.Class[])>""<java.lang.Class: java.lang.reflect.Method getMethod(java.lang.String,java.lang.Class[])>"	257java.lang.Class.getMethod(Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;:-1:-1:-1:-1	27java.lang.Class.getMethod(java.lang.String,java.lang.Class[]):-1:-1:-1:-1	java.lang.Class:getMethod(java.lang.String,java.lang.Class[])java.lang.Class.getMethod(java.lang.String,java.lang.Class[])	20java.lang.Class.getMethod(Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;:1783	37java.lang.Class<>.getMethod(java.lang.String;java.lang.Class<?>[]):java.lang.reflect.Method::-1:-1:-1:-1	95
153	1	x	x	x	java.lang.reflect.Method:setAccessible(boolean)java.lang.reflect.Method.setAccessible(boolean)	x	x	8
78	6	"<java.lang.reflect.Method: java.lang.Object invoke(java.lang.Object,java.lang.Object[])>""<java.lang.reflect.Method: java.lang.Object invoke(java.lang.Object,java.lang.Object[])>"	263java.lang.reflect.Method.invoke(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:-1:-1:-1:-1	29java.lang.reflect.Method.invoke(java.lang.Object,java.lang.Object[]):-1:-1:-1:-1	java.lang.reflect.Method:invoke(java.lang.Object,java.lang.Object[])java.lang.reflect.Method.invoke(java.lang.Object,java.lang.Object[])	22java.lang.reflect.Method.invoke(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:488	41java.lang.reflect.Method.invoke(java.lang.Object;java.lang.Object[]):java.lang.Object::-1:-1:-1:-1	95
79	6	"<java.io.PrintStream: void println(java.lang.String)>""<java.io.PrintStream: void println(java.lang.String)>"	280java.io.PrintStream.println(Ljava/lang/String;)V:-1:-1:-1:-1	30java.io.PrintStream.println(java.lang.String):-1:-1:-1:-1	java.io.PrintStream:println(java.lang.String)java.io.PrintStream.println(java.lang.String)	7java.io.PrintStream.println(Ljava/lang/String;)V:805	42java.io.PrintStream.println(java.lang.String):void:Java8Test.java:-1:-1:-1:-1	95
7	6	"(37)<dynamic.DynamicTest: void methodHandle()>""(37)<dynamic.DynamicTest: void methodHandle()>"	284dynamic.DynamicTest.methodHandle()V:35:2:49:3	31dynamic.DynamicTest.methodHandle():35:7:49:2	(37)dynamic.DynamicTest:methodHandle()dynamic.DynamicTest.methodHandle()	24dynamic.DynamicTest.methodHandle()V:37	43dynamic.DynamicTest.methodHandle():void:DynamicTest.java:31:1:49:2	95
