(0)regular.RegularExpression.<init>(java.lang.String)->(1916)regular.RegularExpression.change(java.lang.String)	6	X	X	X	X	X	X	95
(4)regular.Discretizer.or(java.lang.String)->(6)regular.Discretizer.delambda(java.lang.String)	6	X	X	X	X	X	X	95
(6)regular.Discretizer.delambda(java.lang.String)->(2212)gui.environment.Profile.getEmptyString()	6	X	X	X	X	X	X	95
(8)regular.Discretizer.cat(java.lang.String)->(6)regular.Discretizer.delambda(java.lang.String)	6	X	X	X	X	X	X	95
(9)gui.environment.Universe.<clinit>()->(476)file.CodecRegistry.<init>()	4	X		X	X	X		29
(9)gui.environment.Universe.<clinit>()->(4776)file.XMLCodec.<init>()	5	X	X	X	X		X	79
(9)gui.environment.Universe.<clinit>()->(4795)file.CodecRegistry.add(file.Codec)	6	X	X	X	X	X	X	95
(9)gui.environment.Universe.<clinit>()->(6515)javax.swing.JFileChooser.<init>(java.lang.String)	5	X	X	X	X		X	79
(9)gui.environment.Universe.<clinit>()->(7370)gui.environment.Profile.<init>()	4	X		X	X	X		29
(9)gui.environment.Universe.<clinit>()->(7372)gui.environment.Universe$1.<init>()	4	X		X	X	X		29
(10)automata.SimulatorFactory.getSimulator(automata.Automaton)->(12)automata.NondeterminismDetectorFactory.getDetector(automata.Automaton)	6	X	X	X	X	X	X	95
(10)automata.SimulatorFactory.getSimulator(automata.Automaton)->(121)automata.NondeterminismDetector.getNondeterministicStates(automata.Automaton)	6	X	X	X	X	X	X	95
(10)automata.SimulatorFactory.getSimulator(automata.Automaton)->(228)automata.turing.TMSimulator.<init>(automata.Automaton)	6	X	X	X	X	X	X	95
(10)automata.SimulatorFactory.getSimulator(automata.Automaton)->(235)automata.turing.NDTMSimulator.<init>(automata.Automaton)	6	X	X	X	X	X	X	95
(10)automata.SimulatorFactory.getSimulator(automata.Automaton)->(2214)automata.fsa.FSAStepWithClosureSimulator.<init>(automata.Automaton)	6	X	X	X	X	X	X	95
(10)automata.SimulatorFactory.getSimulator(automata.Automaton)->(2215)automata.pda.PDAStepWithClosureSimulator.<init>(automata.Automaton)	6	X	X	X	X	X	X	95
(10)automata.SimulatorFactory.getSimulator(automata.Automaton)->(2216)automata.mealy.MooreStepByStateSimulator.<init>(automata.Automaton)	6	X	X	X	X	X	X	95
(10)automata.SimulatorFactory.getSimulator(automata.Automaton)->(2217)automata.mealy.MealyStepByStateSimulator.<init>(automata.Automaton)	6	X	X	X	X	X	X	95
(12)automata.NondeterminismDetectorFactory.getDetector(automata.Automaton)->(2275)automata.fsa.FSANondeterminismDetector.<init>()	6	X	X	X	X	X	X	95
(12)automata.NondeterminismDetectorFactory.getDetector(automata.Automaton)->(2276)automata.pda.PDANondeterminismDetector.<init>()	6	X	X	X	X	X	X	95
(12)automata.NondeterminismDetectorFactory.getDetector(automata.Automaton)->(2277)automata.turing.TMNondeterminismDetector.<init>()	6	X	X	X	X	X	X	95
(12)automata.NondeterminismDetectorFactory.getDetector(automata.Automaton)->(2278)automata.mealy.MealyNondeterminismDetector.<init>()	6	X	X	X	X	X	X	95
(13)automata.ClosureTaker.getClosure(automata.State,automata.Automaton)->(14)automata.LambdaCheckerFactory.getLambdaChecker(automata.Automaton)	6	X	X	X	X	X	X	95
(13)automata.ClosureTaker.getClosure(automata.State,automata.Automaton)->(2222)automata.Automaton.getTransitionsFromState(automata.State)	6	X	X	X	X	X	X	95
(13)automata.ClosureTaker.getClosure(automata.State,automata.Automaton)->(2227)automata.Transition.getToState()	5	X	X	X	X		X	79
(13)automata.ClosureTaker.getClosure(automata.State,automata.Automaton)->(7480)automata.LambdaTransitionChecker.isLambdaTransition(automata.Transition)	4		X	X	X		X	78
(14)automata.LambdaCheckerFactory.getLambdaChecker(automata.Automaton)->(2267)automata.fsa.FSALambdaTransitionChecker.<init>()	6	X	X	X	X	X	X	95
(14)automata.LambdaCheckerFactory.getLambdaChecker(automata.Automaton)->(2268)automata.pda.PDALambdaTransitionChecker.<init>()	6	X	X	X	X	X	X	95
(14)automata.LambdaCheckerFactory.getLambdaChecker(automata.Automaton)->(2269)automata.turing.TMLambdaTransitionChecker.<init>()	6	X	X	X	X	X	X	95
(14)automata.LambdaCheckerFactory.getLambdaChecker(automata.Automaton)->(2270)automata.mealy.MealyLambdaTransitionChecker.<init>()	6	X	X	X	X	X	X	95
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(2230)automata.Note.setLocationManually(java.awt.Point)	5	X	X	X	X		X	79
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(2247)automata.Note$1.<init>(automata.Note)	2	X			X			9
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(2248)gui.viewer.AutomatonPane.add(java.awt.Component)	5	X	X	X	X		X	79
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8207)automata.Note.setDisabledTextColor(java.awt.Color)	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8208)automata.Note.setBackground(java.awt.Color)	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8209)automata.Note.addMouseMotionListener(java.awt.event.MouseMotionListener)	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8210)automata.Note$2.<init>(automata.Note)	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8211)automata.Note.addMouseListener(java.awt.event.MouseListener)	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8212)automata.Note.setEnabled(boolean)	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8213)automata.Note.setEditable(boolean)	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8214)automata.Note.setCaretColor(java.awt.Color)	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8215)automata.Note.setSelectionStart(int)	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8216)automata.Note.getColumnWidth()	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8217)automata.Note.setSelectionEnd(int)	1				X			8
(15)automata.Note.initializeForView(gui.viewer.AutomatonPane)->(8218)automata.Note.requestFocus()	1				X			8
(17)automata.StateRenamer.rename(automata.Automaton)->(30)automata.Automaton.getStates()	6	X	X	X	X	X	X	95
(17)automata.StateRenamer.rename(automata.Automaton)->(2265)automata.State.setID(int)	5	X	X	X	X		X	79
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(30)automata.Automaton.getStates()	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2280)automata.UnreachableStatesDetector.initializeNodes(automata.State[])	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2283)automata.UnreachableStatesDetector.getNodeForState(automata.State)	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2284)automata.UnreachableStatesDetector.visit(automata.Node)	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2285)automata.Automaton.getInitialState()	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2286)automata.Node.isWhite()	6	X	X	X	X	X	X	95
(23)automata.UnreachableStatesDetector.getUnreachableStates()->(2287)automata.Node.getState()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(109)automata.State.<init>(int,java.awt.Point,automata.Automaton)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(111)automata.State.getName()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(114)automata.State.setLabel(java.lang.String)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2222)automata.Automaton.getTransitionsFromState(automata.State)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2227)automata.Transition.getToState()	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2228)automata.Note.<init>(java.awt.Point,java.lang.String)	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2273)automata.State.getID()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2285)automata.Automaton.getInitialState()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2303)automata.Automaton.getEnvironmentFrame()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2304)automata.Automaton.getNotes()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2308)automata.Automaton.setEnvironmentFrame(gui.environment.EnvironmentFrame)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2309)automata.Automaton.addState(automata.State)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2310)automata.Automaton.addFinalState(automata.State)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2311)automata.Automaton.setInitialState(automata.State)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2312)automata.Automaton.addTransition(automata.Transition)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2315)automata.Automaton.addNote(automata.Note)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2316)automata.State.getPoint()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2317)automata.State.getLabel()	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2319)automata.State.setName(java.lang.String)	6	X	X	X	X	X	X	95
(25)automata.Automaton.clone()->(2324)automata.mealy.MooreMachine.getOutput(automata.State)	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2325)automata.mealy.MooreMachine.setOutput(automata.State,java.lang.String)	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2326)automata.Transition.clone()	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2327)automata.Transition.setFromState(automata.State)	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2328)automata.Transition.setToState(automata.State)	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2329)automata.Note.getAutoPoint()	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2330)automata.Note.getView()	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(2331)automata.Note.setView(gui.viewer.AutomatonPane)	5	X	X	X	X		X	79
(25)automata.Automaton.clone()->(8222)automata.Note.getText()	1				X			8
(28)automata.Automaton.getTransitionsFromStateToState(automata.State,automata.State)->(2222)automata.Automaton.getTransitionsFromState(automata.State)	6	X	X	X	X	X	X	95
(28)automata.Automaton.getTransitionsFromStateToState(automata.State,automata.State)->(2227)automata.Transition.getToState()	5	X	X	X	X		X	79
(30)automata.Automaton.getStates()->(2271)automata.Automaton$1.<init>(automata.Automaton)	3	X			X	X		25
(32)automata.Automaton.toString()->(30)automata.Automaton.getStates()	6	X	X	X	X	X	X	95
(32)automata.Automaton.toString()->(2222)automata.Automaton.getTransitionsFromState(automata.State)	6	X	X	X	X	X	X	95
(32)automata.Automaton.toString()->(2467)automata.Automaton.isFinalState(automata.State)	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(2330)automata.Note.getView()	5	X	X	X	X		X	79
(34)automata.Automaton.clear()->(2412)automata.Automaton.removeTransition(automata.Transition)	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(2457)automata.Automaton.removeState(automata.State)	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(2463)automata.Automaton.deleteNote(automata.Note)	6	X	X	X	X	X	X	95
(34)automata.Automaton.clear()->(8233)gui.viewer.AutomatonPane.remove(java.awt.Component)	1				X			8
(34)automata.Automaton.clear()->(8234)gui.viewer.AutomatonPane.repaint()	1				X			8
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(30)automata.Automaton.getStates()	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(2285)automata.Automaton.getInitialState()	6	X	X	X	X	X	X	95
(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)->(2524)automata.fsa.FSAToRegularGrammarConverter$1.<init>(automata.fsa.FSAToRegularGrammarConverter)	3	X			X	X		25
(41)automata.fsa.FSAToRegularGrammarConverter.getLambdaProductionForFinalState(automata.Automaton,automata.State)->(2467)automata.Automaton.isFinalState(automata.State)	6	X	X	X	X	X	X	95
(41)automata.fsa.FSAToRegularGrammarConverter.getLambdaProductionForFinalState(automata.Automaton,automata.State)->(2529)grammar.Production.<init>(java.lang.String,java.lang.String)	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(38)automata.fsa.FSAToRegularGrammarConverter.initializeConverter(automata.Automaton)	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(41)automata.fsa.FSAToRegularGrammarConverter.getLambdaProductionForFinalState(automata.Automaton,automata.State)	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(682)grammar.reg.RegularGrammar.addProduction(grammar.Production)	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(2344)automata.Automaton.getTransitions()	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(2466)automata.Automaton.getFinalStates()	6	X	X	X	X	X	X	95
(42)automata.fsa.FSAToRegularGrammarConverter.convertToRegularGrammar(automata.Automaton)->(2526)automata.fsa.FSAToRegularGrammarConverter.getProductionForTransition(automata.Transition)	6	X	X	X	X	X	X	95
