calls;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;66010.0000;0.1821;0.1860;0.1880;0.0784;0.1790;1.0000;
OSA0;0.8233;14601.0000;0.9760;0.7852;0.2427;0.9288;1.0000;
SPOON0;0.8133;0.9440;15096.0000;0.7761;0.2389;0.9051;1.0000;
JCG0;0.7538;0.6963;0.7115;16466.0000;0.2529;0.6835;1.0000;
WALA0;0.9669;0.6624;0.6743;0.7787;5349.0000;0.6304;1.0000;
JDT0;0.8387;0.9627;0.9700;0.7989;0.2394;14087.0000;1.0000;
UnionGraph;0.9120;0.2017;0.2086;0.2275;0.0739;0.1946;72378.0000;

methods;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;7459.0000;0.5389;0.5548;0.6053;0.3106;0.5877;1.0000;
OSA0;0.8584;4682.0000;0.9951;0.8733;0.3765;0.9120;1.0000;
SPOON0;0.8525;0.9606;4826.0000;0.8672;0.3713;0.8937;1.0000;
JCG0;0.7498;0.6783;0.6980;6030.0000;0.3410;0.6980;1.0000;
WALA0;0.9547;0.7263;0.7420;0.8432;2430.0000;0.8617;1.0000;
JDT0;0.8232;0.8134;0.8258;0.8020;0.4003;5424.0000;1.0000;
UnionGraph;0.7359;0.4621;0.4798;0.5951;0.2404;0.5211;10136.0000;

callsCount;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;66010;12021;12278;12412;5172;11815;66010;
OSA0;12021;14601;14251;11465;3543;13561;14601;
SPOON0;12278;14251;15096;11716;3607;13664;15096;
JCG0;12412;11465;11716;16466;4165;11254;16466;
WALA0;5172;3543;3607;4165;5349;3372;5349;
JDT0;11815;13561;13664;11254;3372;14087;14087;
UnionGraph;66010;14601;15096;16466;5349;14087;72378;

methodsCount;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;7459;3439;3321;2944;5142;3075;0;
OSA0;663;4682;23;593;2919;412;0;
SPOON0;712;190;4826;641;3034;513;0;
JCG0;1509;1940;1821;6030;3974;1821;0;
WALA0;110;665;627;381;2430;336;0;
JDT0;959;1012;945;1074;3253;5424;0;
UnionGraph;2677;5452;5273;4104;7699;4854;10136;

