1914	5	"(43)<regular.RegularExpression: void <init>()>""(43)<regular.RegularExpression: void <init>()>"	11054regular.RegularExpression.<init>()V:42:2:44:3	x	(43)regular.RegularExpression:<init>()regular.RegularExpression.<init>()	847regular.RegularExpression.<init>()V:43	2763regular.RegularExpression.<init>():void:RegularExpression.java:39:1:44:2	91
1925	6	"(90)<regular.RegularExpression: java.lang.String toString()>""(90)<regular.RegularExpression: java.lang.String toString()>"	25498regular.RegularExpression.toString()Ljava/lang/String;:89:2:91:3	4921regular.RegularExpression.toString():89:16:91:2	(90)regular.RegularExpression:toString()regular.RegularExpression.toString()	854regular.RegularExpression.toString()Ljava/lang/String;:90	5799regular.RegularExpression.toString():java.lang.String:RegularExpression.java:84:1:91:2	95
8121	4	x	25475regular.ExpressionChangeListener.expressionChanged(Lregular/ExpressionChangeEvent;)V:39:2:39:61	4924regular.ExpressionChangeListener.expressionChanged(regular.ExpressionChangeEvent):-1:-1:-1:-1	regular.ExpressionChangeListener:expressionChanged(regular.ExpressionChangeEvent)regular.ExpressionChangeListener.expressionChanged(regular.ExpressionChangeEvent)	x	5790regular.ExpressionChangeListener.expressionChanged(regular.ExpressionChangeEvent):void:ExpressionChangeListener.java:33:1:39:60	78
2212	6	"(178)<gui.environment.Profile: java.lang.String getEmptyString()>""(178)<gui.environment.Profile: java.lang.String getEmptyString()>"	1390gui.environment.Profile.getEmptyString()Ljava/lang/String;:177:2:179:3	131gui.environment.Profile.getEmptyString():-1:-1:-1:-1	gui.environment.Profile:getEmptyString()gui.environment.Profile.getEmptyString()	126gui.environment.Profile.getEmptyString()Ljava/lang/String;:178	480gui.environment.Profile.getEmptyString():java.lang.String:Profile.java:172:1:179:2	95
2272	6	"(535)<automata.Automaton$1: int compare(java.lang.Object,java.lang.Object)>""(535)<automata.Automaton$1: int compare(java.lang.Object,java.lang.Object)>"	475automata.Automaton$1.compare(Ljava/lang/Object;Ljava/lang/Object;)I:534:5:536:6	756automata.Automaton$1.compare(java.lang.Object,java.lang.Object):534:16:536:5	(535)automata.Automaton$1:compare(java.lang.Object,java.lang.Object)automata.Automaton$1.compare(java.lang.Object,java.lang.Object)	78automata.Automaton$1.compare(Ljava/lang/Object;Ljava/lang/Object;)I:535	262automata.Automaton$3.compare(java.lang.Object;java.lang.Object):int:Automaton.java:534:4:536:5	95
2273	6	"(111)<automata.State: int getID()>""(111)<automata.State: int getID()>"	230automata.State.getID()I:110:2:112:3	108automata.State.getID():-1:-1:-1:-1	automata.State:getID()automata.State.getID()	47automata.State.getID()I:111	111automata.State.getID():int:State.java:105:1:112:2	95
2294	6	"(56)<automata.Configuration: automata.State getCurrentState()>""(56)<automata.Configuration: automata.State getCurrentState()>"	828automata.Configuration.getCurrentState()Lautomata/State;:55:2:57:3	25automata.Configuration.getCurrentState():-1:-1:-1:-1	automata.Configuration:getCurrentState()automata.Configuration.getCurrentState()	124automata.Configuration.getCurrentState()Lautomata/State;:56	1automata.Configuration.getCurrentState():automata.State:Configuration.java:50:1:57:2	95
2299	5	"(187)<automata.Configuration: void reset()>""(187)<automata.Configuration: void reset()>"	859automata.Configuration.reset()V:186:2:188:3	793automata.Configuration.reset():186:14:188:2	(187)automata.Configuration:reset()automata.Configuration.reset()	x	13automata.Configuration.reset():void:Configuration.java:182:1:188:2	79
8216	1	x	x	x	automata.Note:getColumnWidth()automata.Note.getColumnWidth()	x	x	8
8218	1	x	x	x	automata.Note:requestFocus()automata.Note.requestFocus()	x	x	8
2254	5	"(205)<automata.Note: void updateView()>""(205)<automata.Note: void updateView()>"	3235automata.Note.updateView()V:204:2:207:3	846automata.Note.updateView():204:14:207:2	(205)automata.Note:updateView()automata.Note.updateView()	x	71automata.Note.updateView():void:Note.java:204:1:207:2	79
