Transformed	matching	Soot.rep(1)	OSA.rep(2)	SPOON.rep(4)	JCG.rep(8)	WALA.rep(16)	JDT(64)	IntersectionID
1912	6	"(46)<regular.ExpressionChangeEvent: void <init>(regular.RegularExpression,java.lang.String)>""(46)<regular.ExpressionChangeEvent: void <init>(regular.RegularExpression,java.lang.String)>"	25461regular.ExpressionChangeEvent.<init>(Lregular/RegularExpression;Ljava/lang/String;)V:45:2:49:3	4916regular.ExpressionChangeEvent.ExpressionChangeEvent(regular.RegularExpression,java.lang.String):45:9:49:2	(46)regular.ExpressionChangeEvent:<init>(regular.RegularExpression,java.lang.String)regular.ExpressionChangeEvent.<init>(regular.RegularExpression,java.lang.String)	851regular.ExpressionChangeEvent.<init>(Lregular/RegularExpression;Ljava/lang/String;)V:46	5791regular.ExpressionChangeEvent.<init>(regular.RegularExpression;java.lang.String):void:ExpressionChangeEvent.java:37:1:49:2	95
1913	6	"<java.util.EventObject: void <init>(java.lang.Object)>""<java.util.EventObject: void <init>(java.lang.Object)>"	918java.util.EventObject.<init>(Ljava/lang/Object;)V:-1:-1:-1:-1	1java.util.EventObject.EventObject(java.lang.Object):-1:-1:-1:-1	java.util.EventObject:<init>(java.lang.Object)java.util.EventObject.<init>(java.lang.Object)	471java.util.EventObject.<init>(Ljava/lang/Object;)V:54	348java.util.EventObject.<init>(java.lang.Object):void:ExpressionChangeEvent.java:-1:-1:-1:-1	95
1914	5	"(43)<regular.RegularExpression: void <init>()>""(43)<regular.RegularExpression: void <init>()>"	11054regular.RegularExpression.<init>()V:42:2:44:3	x	(43)regular.RegularExpression:<init>()regular.RegularExpression.<init>()	847regular.RegularExpression.<init>()V:43	2763regular.RegularExpression.<init>():void:RegularExpression.java:39:1:44:2	91
1915	6	"<java.lang.Object: void <init>()>""<java.lang.Object: void <init>()>"	142java.lang.Object.<init>()V:-1:-1:-1:-1	34java.lang.Object.Object():-1:-1:-1:-1	java.lang.Object:<init>()java.lang.Object.<init>()	77java.lang.Object.<init>()V:37	1941java.lang.Object.<init>():void:UnitPane.java:-1:-1:-1:-1	95
1917	6	"<java.util.HashSet: void <init>()>""<java.util.HashSet: void <init>()>"	178java.util.HashSet.<init>()V:-1:-1:-1:-1	67java.util.HashSet.HashSet():-1:-1:-1:-1	java.util.HashSet:<init>()java.util.HashSet.<init>()	98java.util.HashSet.<init>()V:104	77java.util.HashSet<automata.Configuration>.<init>():void:RegularExpression.java:-1:-1:-1:-1	95
1916	6	"(121)<regular.RegularExpression: void change(java.lang.String)>""(121)<regular.RegularExpression: void change(java.lang.String)>"	25484regular.RegularExpression.change(Ljava/lang/String;)V:119:2:128:3	4917regular.RegularExpression.change(java.lang.String):119:14:128:2	regular.RegularExpression:change(java.lang.String)regular.RegularExpression.change(java.lang.String)	849regular.RegularExpression.change(Ljava/lang/String;)V:121	5795regular.RegularExpression.change(java.lang.String):void:RegularExpression.java:113:1:128:2	95
1918	5	"(63)<regular.RegularExpression: void <init>(regular.RegularExpression)>""(63)<regular.RegularExpression: void <init>(regular.RegularExpression)>"	25486regular.RegularExpression.<init>(Lregular/RegularExpression;)V:62:2:64:3	x	(63)regular.RegularExpression:<init>(regular.RegularExpression)regular.RegularExpression.<init>(regular.RegularExpression)	852regular.RegularExpression.<init>(Lregular/RegularExpression;)V:63	5796regular.RegularExpression.<init>(regular.RegularExpression):void:RegularExpression.java:56:1:64:2	91
1919	6	"(73)<regular.RegularExpression: java.lang.String asString()>""(73)<regular.RegularExpression: java.lang.String asString()>"	6007regular.RegularExpression.asString()Ljava/lang/String;:71:2:82:3	1084regular.RegularExpression.asString():71:16:82:2	regular.RegularExpression:asString()regular.RegularExpression.asString()	853regular.RegularExpression.asString()Ljava/lang/String;:73	1318regular.RegularExpression.asString():java.lang.String:RegularExpression.java:66:1:82:2	95
1920	5	"<java.lang.ref.Reference: java.lang.Object get()>""<java.lang.ref.Reference: java.lang.Object get()>"	25490java.lang.ref.Reference.get()Ljava/lang/Object;:-1:-1:-1:-1	4919java.lang.ref.Reference.get():-1:-1:-1:-1	java.lang.ref.Reference:get()java.lang.ref.Reference.get()	x	5797java.lang.ref.Reference<java.lang.String>.get():java.lang.String::-1:-1:-1:-1	79
1923	6	"<java.lang.String: boolean equals(java.lang.Object)>""<java.lang.String: boolean equals(java.lang.Object)>"	1056java.lang.String.equals(Ljava/lang/Object;)Z:-1:-1:-1:-1	14java.lang.String.equals(java.lang.Object):-1:-1:-1:-1	java.lang.String:equals(java.lang.Object)java.lang.String.equals(java.lang.Object)	28java.lang.String.equals(Ljava/lang/Object;)Z:977	113java.lang.String.equals(java.lang.Object):boolean:RegularExpression.java:-1:-1:-1:-1	95
