Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(0)regular.RegularExpression.<init>(java.lang.String)->(1915)java.lang.Object.<init>()	5	X	X	X	X	X		31
(0)regular.RegularExpression.<init>(java.lang.String)->(1916)regular.RegularExpression.change(java.lang.String)	6	X	X	X	X	X	X	95
(0)regular.RegularExpression.<init>(java.lang.String)->(1917)java.util.HashSet.<init>()	4	X		X	X	X		29
(4)regular.Discretizer.or(java.lang.String)->(6)regular.Discretizer.delambda(java.lang.String)	6	X	X	X	X	X	X	95
(4)regular.Discretizer.or(java.lang.String)->(1927)java.lang.String.charAt(int)	6	X	X	X	X	X	X	95
(4)regular.Discretizer.or(java.lang.String)->(1928)java.lang.String.length()	6	X	X	X	X	X	X	95
(4)regular.Discretizer.or(java.lang.String)->(2206)java.util.ArrayList.<init>()	6	X	X	X	X	X	X	95
(4)regular.Discretizer.or(java.lang.String)->(2207)java.lang.String.substring(int,int)	6	X	X	X	X	X	X	95
(4)regular.Discretizer.or(java.lang.String)->(2208)java.lang.String.substring(int)	6	X	X	X	X	X	X	95
(4)regular.Discretizer.or(java.lang.String)->(2209)java.util.ArrayList.add(java.lang.Object)	6	X	X	X	X	X	X	95
(4)regular.Discretizer.or(java.lang.String)->(2210)java.util.ArrayList.toArray(java.lang.Object[])	6	X	X	X	X	X	X	95
(6)regular.Discretizer.delambda(java.lang.String)->(1923)java.lang.String.equals(java.lang.Object)	6	X	X	X	X	X	X	95
(6)regular.Discretizer.delambda(java.lang.String)->(2212)gui.environment.Profile.getEmptyString()	6	X	X	X	X	X	X	95
(8)regular.Discretizer.cat(java.lang.String)->(6)regular.Discretizer.delambda(java.lang.String)	6	X	X	X	X	X	X	95
(8)regular.Discretizer.cat(java.lang.String)->(1927)java.lang.String.charAt(int)	6	X	X	X	X	X	X	95
(8)regular.Discretizer.cat(java.lang.String)->(1928)java.lang.String.length()	6	X	X	X	X	X	X	95
(8)regular.Discretizer.cat(java.lang.String)->(2206)java.util.ArrayList.<init>()	6	X	X	X	X	X	X	95
(8)regular.Discretizer.cat(java.lang.String)->(2207)java.lang.String.substring(int,int)	6	X	X	X	X	X	X	95
