calls;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;33117.0000;0.2269;0.2328;0.2147;0.5860;0.2251;1.0000;
OSA0;0.7522;9991.0000;0.9999;0.8682;0.6297;0.9917;1.0000;
SPOON0;0.7567;0.9808;10186.0000;0.8691;0.6365;0.9743;1.0000;
JCG0;0.6559;0.8001;0.8166;10841.0000;0.5443;0.7930;1.0000;
WALA0;0.9991;0.3239;0.3338;0.3038;19423.0000;0.3209;1.0000;
JDT0;0.7299;0.9701;0.9717;0.8418;0.6102;10213.0000;1.0000;
UnionGraph;0.8870;0.2676;0.2728;0.2904;0.5202;0.2736;37335.0000;

methods;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;5433.0000;0.6998;0.7107;0.7248;0.7138;0.7530;1.0000;
OSA0;0.9221;4123.0000;1.0000;0.9835;0.8244;0.9976;1.0000;
SPOON0;0.9232;0.9864;4181.0000;0.9837;0.8268;0.9852;1.0000;
JCG0;0.8500;0.8755;0.8879;4620.0000;0.7613;0.8846;1.0000;
WALA0;0.9868;0.8650;0.8800;0.8976;3934.0000;0.9502;1.0000;
JDT0;0.8857;0.8952;0.8963;0.8917;0.8081;4637.0000;1.0000;
UnionGraph;0.8575;0.6507;0.6600;0.7309;0.6207;0.7262;6336.0000;

callsCount;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;33117;7515;7708;7111;19406;7454;33117;
OSA0;7515;9991;9990;8674;6291;9908;9991;
SPOON0;7708;9990;10186;8853;6483;9924;10186;
JCG0;7111;8674;8853;10841;5901;8597;10841;
WALA0;19406;6291;6483;5901;19423;6232;19423;
JDT0;7454;9908;9924;8597;6232;10213;10213;
UnionGraph;33117;9991;10186;10841;19423;10213;37335;

methodsCount;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;5433;1631;1572;1495;1555;1342;0;
OSA0;321;4123;0;68;724;10;0;
SPOON0;321;57;4181;68;724;62;0;
JCG0;693;575;518;4620;1103;533;0;
WALA0;52;531;472;403;3934;196;0;
JDT0;530;486;481;502;890;4637;0;
UnionGraph;903;2213;2154;1705;2403;1735;6336;

