Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(0)org.joda.time.tz.ZoneInfoCompiler.main(java.lang.String[])->(3)org.joda.time.tz.ZoneInfoCompiler.printUsage()	6	X	X	X	X	X	X	95
(0)org.joda.time.tz.ZoneInfoCompiler.main(java.lang.String[])->(1044)org.joda.time.tz.ZoneInfoCompiler.<init>()	6	X	X	X	X	X	X	95
(0)org.joda.time.tz.ZoneInfoCompiler.main(java.lang.String[])->(1045)org.joda.time.tz.ZoneInfoCompiler.compile(java.io.File,java.io.File[])	6	X	X	X	X	X	X	95
(0)org.joda.time.tz.ZoneInfoCompiler.main(java.lang.String[])->(1596)java.lang.String.equals(java.lang.Object)	6	X	X	X	X	X	X	95
(0)org.joda.time.tz.ZoneInfoCompiler.main(java.lang.String[])->(1597)java.io.File.<init>(java.lang.String)	6	X	X	X	X	X	X	95
(0)org.joda.time.tz.ZoneInfoCompiler.main(java.lang.String[])->(1598)java.io.File.<init>(java.io.File,java.lang.String)	6	X	X	X	X	X	X	95
(3)org.joda.time.tz.ZoneInfoCompiler.printUsage()->(4079)java.io.PrintStream.println(java.lang.String)	6	X	X	X	X	X	X	95
(6)org.joda.time.Interval.parseWithOffset(java.lang.String)->(8)org.joda.time.PeriodType.standard()	6	X	X	X	X	X	X	95
(6)org.joda.time.Interval.parseWithOffset(java.lang.String)->(9)org.joda.time.format.ISOPeriodFormat.standard()	6	X	X	X	X	X	X	95
(6)org.joda.time.Interval.parseWithOffset(java.lang.String)->(10)org.joda.time.format.ISODateTimeFormat.dateTimeParser()	6	X	X	X	X	X	X	95
(6)org.joda.time.Interval.parseWithOffset(java.lang.String)->(1454)org.joda.time.format.DateTimeFormatter.parseDateTime(java.lang.String)	6	X	X	X	X	X	X	95
(6)org.joda.time.Interval.parseWithOffset(java.lang.String)->(1606)java.lang.String.indexOf(int)	6	X	X	X	X	X	X	95
