calls;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;63839.0000;0.0352;0.0629;0.0828;0.0600;0.0646;1.0000;
OSA0;0.4795;4684.0000;0.6450;0.6386;0.3832;0.6138;1.0000;
SPOON0;0.5624;0.4232;7139.0000;0.8528;0.3118;0.8025;1.0000;
JCG0;0.5976;0.3383;0.6887;8840.0000;0.3234;0.7407;1.0000;
WALA0;0.9992;0.4681;0.5804;0.7455;3835.0000;0.5317;1.0000;
JDT0;0.5997;0.4181;0.8331;0.9522;0.2965;6877.0000;1.0000;
UnionGraph;0.9095;0.0667;0.1017;0.1259;0.0546;0.0980;70192.0000;

methods;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;4769.0000;0.3384;0.5005;0.5519;0.4324;0.5366;1.0000;
OSA0;0.6433;2509.0000;0.7740;0.7569;0.5783;0.7433;1.0000;
SPOON0;0.6334;0.5176;3748.0000;0.8722;0.4418;0.8287;1.0000;
JCG0;0.6836;0.4934;0.8491;3849.0000;0.4531;0.8763;1.0000;
WALA0;0.9231;0.6494;0.7455;0.7809;2236.0000;0.8470;1.0000;
JDT0;0.6138;0.4709;0.7558;0.8271;0.4560;4239.0000;1.0000;
UnionGraph;0.6302;0.3317;0.4983;0.5087;0.2959;0.5429;7568.0000;

callsCount;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;63839;2246;4015;5283;3832;4124;63839;
OSA0;2246;4684;3021;2991;1795;2875;4684;
SPOON0;4015;3021;7139;6088;2226;5729;7139;
JCG0;5283;2991;6088;8840;2859;6548;8840;
WALA0;3832;1795;2226;2859;3835;2039;3835;
JDT0;4124;2875;5729;6548;2039;6877;6877;
UnionGraph;63839;4684;7139;8840;3835;6877;70192;

methodsCount;Soot0;OSA0;SPOON0;JCG0;WALA0;JDT0;UnionGraph;
Soot0;4769;3155;2382;2137;2707;2210;0;
OSA0;895;2509;567;610;1058;644;0;
SPOON0;1374;1808;3748;479;2092;642;0;
JCG0;1218;1950;581;3849;2105;476;0;
WALA0;172;784;569;490;2236;342;0;
JDT0;1637;2243;1035;733;2306;4239;0;
UnionGraph;2799;5058;3797;3718;5329;3459;7568;

